Timestamp,Roll (graden),Pitch (graden)
1697033393.7082756,0.32561778454375667,5.020591714625139
1697033393.8142827,0.4862325662665278,4.944500299250347
1697033393.9197013,0.3383836130247481,5.330992953375423
1697033394.0251157,0.5289942964274911,5.140393769882816
1697033394.1305547,0.33982863378253736,4.436047322087502
1697033394.2361643,0.02733577059436585,5.044046058552602
1697033394.3416812,0.14934885005229237,5.131972548258055
1697033394.446951,0.1220499966045466,5.112484204210412
1697033394.5524447,0.12179056187211487,5.195637357544585
1697033394.6623876,0.24531820387392525,5.178406469347416
1697033394.7710588,0.09631846272374846,5.064128187437094
1697033394.8810372,0.4180130974876666,4.98997390922865
1697033394.9864655,0.14903101283749395,5.134549114525707
1697033395.0919385,0.35250153144743257,4.909382520312929
1697033395.1973655,0.2707080234831174,5.022248271039193
1697033395.3039877,0.3653672833550843,5.1284315336911535
1697033395.4093504,0.2544676608265066,4.982984173340693
1697033395.5147915,0.20389871046679808,4.71973558518792
1697033395.6202786,0.08113628682677049,4.386291680182026
1697033395.7306764,-0.0812897721482158,5.966681461140499
1697033395.839687,0.23026548645772504,5.11988095694523
1697033395.949094,0.3501814100850443,4.944075042340031
1697033396.058508,0.3099953117291436,5.001073361436658
1697033396.1678174,0.4083735515846721,5.0911841789154515
1697033396.2772186,0.31286558189446334,4.858120728127628
1697033396.3866773,0.45846432735690107,4.896259216538972
1697033396.496089,0.29961864971732516,5.201725826840041
1697033396.6055777,0.22004991955917394,5.088970533459399
1697033396.7151296,0.24277727376682284,5.018000111041125
1697033396.8246315,0.1094473922132368,5.021679142588524
1697033396.9341419,0.2707719894550822,4.7815151817013355
1697033397.043587,0.24317798598668333,5.053051241528865
1697033397.1530724,0.13551483603132886,5.162644656203502
